DATE,KEYWORD,COUNT,TITLE,LINK
"Tue, 13 Oct 2020 04:00:00 +1100",MLB,"5,000+",MLB manager tracker: White Sox firing Rick Renteria adds open ...,https://www.cbssports.com/mlb/news/mlb-manager-tracker-white-sox-firing-rick-renteria-adds-open-another-open-baseball-managerial-job/
"Tue, 13 Oct 2020 05:00:00 +1100",RCB vs KKR,"2,000+","RCB vs KKR Highlights, IPL 2020 Match Today: Royal Challengers ...",https://www.hindustantimes.com/cricket/ipl-2020-rcb-vs-kkr-live-score-royal-challengers-bangalore-vs-kolkata-knight-riders-indian-premier-league-match-today-live-updates-uae/story-18Q9VQbn4pUEueGzAEN0WO.html
"Tue, 13 Oct 2020 02:00:00 +1100",Rashid Khan wife,"2,000+",Anushka Sharma is Afghan cricketer Rashid Khan&#39;s wife: Here is ...,https://www.hindustantimes.com/bollywood/anushka-sharma-is-afghan-cricketer-rashid-khan-s-wife-here-is-why-google-is-making-this-goof-up/story-7yhNfshnXbVMPOuIbtlRdJ.html
"Tue, 13 Oct 2020 00:00:00 +1100",JR Smith,"2,000+",Twitter Goes Nuts When JR Smith Goes Shirtless During Lakers ...,https://thesource.com/2020/10/12/source-sports-twitter-goes-nuts-when-jr-smith-goes-shirtless-during-lakers-championship-celebration/
"Mon, 12 Oct 2020 11:00:00 +1100",Gladys Berejiklian,"200,000+",&#39;One of the most difficult days in my life&#39;: Gladys Berejiklian vows to ...,https://www.theguardian.com/australia-news/2020/oct/12/one-of-the-most-difficult-days-in-my-life-gladys-berejiklian-vows-to-fight-on
"Mon, 12 Oct 2020 14:00:00 +1100",Lakers,"200,000+",Los Angeles Lakers lean on defense in dominant Game 6 win vs ...,https://www.espn.com.au/nba/story/_/id/30096209/los-angeles-lakers-lean-defense-dominant-game-6-win-vs-miami-heat-capture-first-nba-championship-decade
"Mon, 12 Oct 2020 11:00:00 +1100",Chris Eccles,"20,000+",Andrews &#39;shocked&#39; to learn of phone call as Victoria&#39;s top public ...,https://www.theage.com.au/national/victoria/victoria-s-top-public-servant-chris-eccles-resigns-20201012-p5646x.html
"Mon, 12 Oct 2020 10:00:00 +1100",Dak Prescott,"20,000+",Dak Prescott ankle injury - Answering the biggest questions about ...,https://www.espn.com.au/nfl/story/_/id/30094522/dak-prescott-ankle-injury-answering-biggest-questions-qb-cowboys-andy-dalton-next
"Mon, 12 Oct 2020 09:00:00 +1100",Shane Bowden,"20,000+",Former Mongols bikie gang member Shane Bowden shot dead ...,https://www.brisbanetimes.com.au/national/queensland/mongols-bikie-gang-member-shot-dead-execution-style-20201012-p5644g.html
"Mon, 12 Oct 2020 13:00:00 +1100",Prodigy,"10,000+",He&#39;s pretty sharp — meet the French six-year-old prodigy who plays ...,https://www.theaustralian.com.au/commentary/cut-paste/hes-pretty-sharp-meet-the-french-sixyearold-prodigy-who-plays-rachmaninoff-for-fun/news-story/00aa0cea9a752e9722f1299f4fd70857
"Mon, 12 Oct 2020 03:00:00 +1100",Daniel Ricciardo,"10,000+",Ricciardo admits awkward F1 podium blunder,https://wwos.nine.com.au/motorsport/daniel-ricciardo-eifel-grand-prix-shoey-third-place-finish-fernando-alonso-renault-2021/c831bf4c-196c-4346-b959-8e473020d259
"Mon, 12 Oct 2020 14:00:00 +1100",Amazon Prime Day,"10,000+","We found all the top deals on beauty, activewear, headphones and ...",https://www.bodyandsoul.com.au/fitness/fitness-gear/we-found-all-the-top-deals-on-beauty-activewear-headphones-and-more-for-amazon-prime-day/news-story/8d2bcd3bc80949fffeb9a27159b3eb34
"Mon, 12 Oct 2020 15:00:00 +1100",Classroom,"10,000+",(P) Steps to successfully implement and integrate technology in the ...,https://www.romania-insider.com/p-steps-successfully-implement-and-integrate-technology-classroom
"Mon, 12 Oct 2020 13:00:00 +1100",Scratch,"10,000+",Video and phone consultations only scratch the surface of what ...,https://theconversation.com/video-and-phone-consultations-only-scratch-the-surface-of-what-telehealth-has-to-offer-146580
"Mon, 12 Oct 2020 19:00:00 +1100",Scott Morrison,"5,000+",Scott Morrison escorted from protest after being ambushed by ...,https://www.9news.com.au/national/scott-morrison-car-vandalised-during-protest-at-queensland-university/72105f78-6ded-45c5-8a90-ee824e51522b
"Mon, 12 Oct 2020 19:00:00 +1100",Cleopatra,"5,000+","Casting of actress Gal Gadot as Cleopatra draws anger, but for ...",https://7news.com.au/entertainment/celebrity/casting-of-white-actress-gal-gadot-as-cleopatra-draws-anger-but-for-misguided-reason-c-1381497
