DATE,KEYWORD,COUNT,TITLE,LINK
"Mon, 12 Oct 2020 00:30:00 +0530",NEET Result 2020,"2,000,000+",NEET Result 2020: Union Education Ramesh Pokhriyal Nishank ...,https://zeenews.india.com/india/neet-result-2020-union-education-ramesh-pokhriyal-nishank-announces-october-16-date-of-result-2316778.html
"Mon, 12 Oct 2020 10:30:00 +0530",Mumbai Power Cut,"500,000+",Mumbai power cut: Uddhav Thackeray orders immediate .. into ...,https://www.firstpost.com/india/mumbai-power-cut-uddhav-thackeray-orders-immediate-probe-into-outage-as-electricity-restored-in-some-areas-8904591.html
"Mon, 12 Oct 2020 19:30:00 +0530",Tom Banton,"200,000+","RCB vs KKR, IPL 2020: Tom Banton debuts for Kolkata Knight Riders",https://sportstar.thehindu.com/cricket/ipl/ipl-news/rcb-vs-kkr-tom-banton-debut-kolkata-knight-riders-ipl-2020-england/article32835969.ece
"Mon, 12 Oct 2020 16:30:00 +0530",Suryakumar Yadav,"100,000+",Aakash Chopra Backs Suryakumar Yadav To Play For India By The ...,https://cricketaddictor.com/cricket/aakash-chopra-suryakumar-yadav-play-india-2020/
"Mon, 12 Oct 2020 10:30:00 +0530",UTI AMC share price,"100,000+",UTI AMC shares make a tepid debut; settle 14% down,https://economictimes.indiatimes.com/markets/ipos/fpos/uti-amc-lists-at-11-5-discount-to-issue-price-of-rs-554/articleshow/78613258.cms
"Mon, 12 Oct 2020 11:30:00 +0530",Vedanta share price,"100,000+",Confusion over Vedanta shares tendered for delisting; some see ...,https://economictimes.indiatimes.com/markets/stocks/news/confusion-on-d-st-can-vedanta-shares-tendered-for-delisting-be-traded-today/articleshow/78615056.cms
"Mon, 12 Oct 2020 10:30:00 +0530",Mazagon Dock share price,"100,000+","Stocks in the news: Mazagon Dock Shipbuilders, UTI AMC, Vedanta ...",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-the-news-mazagon-dock-shipbuilders-uti-amc-vedanta-wipro-ongc-and-ril/articleshow/78611583.cms
"Mon, 12 Oct 2020 19:30:00 +0530",Ishan kishan,"50,000+",MI vs DC: రహానే తత్తరపాటు.. బతికిపోయి ...,https://telugu.mykhel.com/cricket/ipl-2020-mi-vs-dc-ajinkya-rahane-miss-mumbai-batsman-ishan-kishans-run-out-chance-030855.html
"Mon, 12 Oct 2020 16:30:00 +0530",CBSE Compartment Result 2020,"50,000+","CBSE 10th Compartment Result 2020 declared, 56.55% students pass",https://www.hindustantimes.com/education/cbse-10th-compartment-result-2020-declared-56-55-students-pass/story-TlgdrST8r4YjzQYFPe1cOM.html
"Mon, 12 Oct 2020 20:30:00 +0530",Jimin,"50,000+",What Is Jimin From BTS&#39; Birth Chart and Zodiac Sign?,https://www.cheatsheet.com/entertainment/jimin-bts-birth-chart-zodiac-sign.html/
"Mon, 12 Oct 2020 19:30:00 +0530",Kieron Pollard,"50,000+","IPL 2020: Players With Best Strike-Rates - Kieron Pollard, Nicolas ...",https://www.news18.com/cricketnext/news/ipl-2020-players-with-best-strike-rates-kieron-pollard-nicolas-pooran-lead-the-way-2955131.html
"Mon, 12 Oct 2020 17:30:00 +0530",Sagarika Ghatge,"50,000+",Romantic photos of Sagarika Ghatge and Zaheer Khan that are too ...,https://www.timesnownews.com/entertainment-news/article/romantic-photos-of-sagarika-ghatge-and-zaheer-khan-that-are-too-good-to-be-missed/666119
"Mon, 12 Oct 2020 01:30:00 +0530",Marcus Stoinis,"50,000+",Shikhar Dhawan blasted by netizens for running out Marcus Stoinis ...,https://www.republicworld.com/sports-news/cricket-news/shikhar-dhawan-blasted-netizens-running-out-marcus-stoinis-dream11-ipl.html
"Mon, 12 Oct 2020 11:30:00 +0530",Aditya Narayan,"50,000+",Udit Narayan&#39;s son Aditya Narayan to marry actor Shweta Agarwal ...,https://www.hindustantimes.com/music/udit-narayan-s-son-aditya-narayan-to-marry-actor-shweta-agarwal-in-2020-happy-that-i-have-found-my-soulmate-in-her/story-ZqiHJ4GeNrbshCUsK88WnO.html
"Mon, 12 Oct 2020 10:30:00 +0530",Wipro share price,"50,000+",Wipro share price hits fresh 52-week high ahead of Jul-Sep results ...,https://www.financialexpress.com/market/wipro-share-price-hits-fresh-52-week-high-ahead-of-jul-sep-results-infosys-lt-infotech-reach-new-highs/2103483/
"Mon, 12 Oct 2020 10:30:00 +0530",Lakers,"20,000+",NBA Finals | Lakers equal Celtics&#39; record of 17 crowns,https://www.thehindu.com/sport/other-sports/nba-finals-lakers-equal-celtics-record-of-17-crowns/article32836981.ece
"Mon, 12 Oct 2020 22:30:00 +0530",Kamala Harris,"20,000+",Kamala Harris on the debate stage: Sight of pride and hope for ...,https://www.sfchronicle.com/opinion/openforum/article/Kamala-Harris-on-the-debate-stage-Sight-of-pride-15637845.php
"Mon, 12 Oct 2020 22:30:00 +0530",Amazon Great Indian Festival,"20,000+",Amazon Great Indian Festival Sale top smartphone deals: iPhone 11 ...,https://www.financialexpress.com/industry/technology/amazon-great-indian-festival-sale-top-smartphone-deals-iphone-11-under-rs-50000-oneplus-8-5g-under-rs-40000-and-more/2103675/
"Tue, 13 Oct 2020 07:30:00 +0530",Headphones,"500,000+",Best noise cancelling headphones in India: नॉइज ...,https://www.india.com/hindi-news/technology/5-best-noise-cancelling-headphones-in-india-price-features-details-4171457/
"Tue, 13 Oct 2020 08:30:00 +0530",iPhone 12,"500,000+",Apple Event 2020 LIVE Updates: iPhone 12 Pro sports 6.. display ...,https://www.firstpost.com/tech/news-analysis/apple-event-2020-today-live-updates-live-stream-iphone-12-mini-pro-max-5g-phone-launch-expected-price-specifications-october-13-8908401.html
"Tue, 13 Oct 2020 13:30:00 +0530",Vivo V20,"200,000+",Vivo V20 First Impressions,https://gadgets.ndtv.com/mobiles/reviews/vivo-v20-first-impressions-price-india-2309362
"Tue, 13 Oct 2020 10:30:00 +0530",Tanishq,"200,000+","Tanishq says ad withdrawn due to hurt sentiments, well being of staff",https://www.livemint.com/companies/news/tanishq-withdraws-ad-after-being-trolled-for-glorifying-love-jihad-11602566557985.html
"Tue, 13 Oct 2020 20:30:00 +0530",Cristiano Ronaldo,"100,000+",Cristiano Ronaldo tests positive for COVID-19,https://www.hindustantimes.com/football/cristiano-ronaldo-tests-positive-for-covid-19/story-NyhloRJvGVYaqLUcDIcffK.html
"Tue, 13 Oct 2020 11:30:00 +0530",Amrita Rao,"100,000+",Actress Amrita Rao Expecting Her First Baby With Husband RJ Anmol,https://www.shethepeople.tv/news/actress-amrita-rao-expecting-her-first-baby-with-husband-rj-anmol/
"Tue, 13 Oct 2020 22:30:00 +0530",ICAI,"100,000+","ICAI CA Exams 2020: Final, Inter &amp; foundation course exam ...",https://www.timesnownews.com/education/article/icai-ca-exams-2020-final-inter-foundation-course-exam-postponed-to-commence-from-november/666767
"Tue, 13 Oct 2020 13:30:00 +0530",Kani Kusruti,"100,000+","Kerala state film awards: Vasanthi wins best film, Suraj ...",https://www.newindianexpress.com/entertainment/malayalam/2020/oct/13/kerala-state-film-awards-vasanthi-wins-best-film-suraj-venjaramoodu-kani-kusruti-chosen-for-top-acti-2209654.html
"Tue, 13 Oct 2020 21:30:00 +0530",Jonny Bairstow,"100,000+",Watch: Ravindra Jadeja Castles Jonny Bairstow With A Sharp Delivery,https://cricketaddictor.com/cricket/watch-ravindra-jadeja-castles-jonny-bairstow/
"Tue, 13 Oct 2020 10:30:00 +0530",Pooja Hegde,"100,000+","On Pooja Hegde&#39;s Birthday, Her First Look From Prabhas&#39; Radhe ...",https://www.ndtv.com/entertainment/on-pooja-hegdes-birthday-her-first-look-from-prabhas-radhe-shyam-2309321
"Tue, 13 Oct 2020 16:30:00 +0530",Soumitra Chatterjee,"50,000+",<b>Soumitra Chatterjee</b> health update: Noted Bengali actor put on ventilation,https://www.dnaindia.com/entertainment/report-soumitra-chatterjee-health-update-noted-bengali-actor-put-on-ventilation-2849633
"Tue, 13 Oct 2020 19:30:00 +0530",Mid-season transfer IPL,"50,000+",IPL 2020 Mid season Transfer Window Live Updates : Transfer ...,https://www.insidesport.co/ipl-2020-mid-season-transfer-window-live-updates-transfer-window-kicks-in-today-opened-for-next-five-days/
"Tue, 13 Oct 2020 13:30:00 +0530",Kerala State Film Awards 2020,"50,000+","Kerala State Film Awards 2020: Lijo Jose Pellissery,..usruti bag top ...",https://www.firstpost.com/entertainment/kerala-state-film-awards-2020-lijo-jose-pellissery-kani-kusruti-bag-top-honours-heres-the-full-list-of-winners-8908751.html
"Tue, 13 Oct 2020 20:30:00 +0530",Rati Pandey,"20,000+",I never knew that I was going to replace Rajshree Thakur in Shaadi ...,https://timesofindia.indiatimes.com/tv/news/hindi/i-never-knew-that-i-was-going-to-replace-rajshree-thakur-in-shaadi-mubarak-rati-pandey/articleshow/78645442.cms
"Tue, 13 Oct 2020 19:30:00 +0530",Mathias Boe,"20,000+",Taapsee Pannu makes hilarious video on viral &#39;biggini shoot&#39; song ...,https://www.hindustantimes.com/bollywood/taapsee-pannu-makes-hilarious-video-on-viral-biggini-shoot-song-boyfriend-mathias-boe-makes-cameo/story-1bhGnt384WZU3HWd0yTtSJ.html
"Tue, 13 Oct 2020 16:30:00 +0530",Navratri 2020 date,"20,000+",Navratri 2020: Fasting For The First Time? 6 Navratri Fasting Tips ...,https://food.ndtv.com/food-drinks/navratri-2020-fasting-for-the-first-time-6-navratri-fasting-tips-for-beginners-2309567
"Tue, 13 Oct 2020 10:30:00 +0530",Kishore Kumar,"20,000+","Kishore Kumar, Screen Sensation: 10 films that define the playback ...",https://www.indiatvnews.com/entertainment/celebrities/kishore-kumar-screen-sensation-10-films-that-define-the-playback-legend-as-actor-656642
"Tue, 13 Oct 2020 18:30:00 +0530",IPL points table 2020 new,"20,000+","आधा IPL खत्म, यहां जानिए 8 टीमों की ...",https://www.newsnationtv.com/sports/indian-premier-league/ipl-points-table-2020-new-mid-season-transfer-ipl-161604.html
"Tue, 13 Oct 2020 10:30:00 +0530",Parvathy,"20,000+",Actor Parvathy resigns from AMMA,https://www.thehindu.com/news/national/kerala/actor-parvathy-resigns-from-amma/article32836148.ece
"Tue, 13 Oct 2020 21:30:00 +0530",Evil Eye,"10,000+",&#39;Evil Eye&#39; Review: The Man of a Mother&#39;s Dreams May Not Be Mr. Right,https://www.nytimes.com/2020/10/13/movies/evil-eye-review.html
"Wed, 14 Oct 2020 15:30:00 +0530",OnePlus,"200,000+",OnePlus 8T vs OnePlus 8 vs OnePlus 8 Pro: Price in India ...,https://gadgets.ndtv.com/mobiles/features/oneplus-8t-vs-oneplus-8-vs-oneplus-8-pro-price-in-india-specifications-comparison-2309933
"Wed, 14 Oct 2020 01:30:00 +0530",Bolivia vs Argentina,"200,000+","Bolivia vs. Argentina - Football Match Report - October 14, 2020 ...",https://www.espn.in/football/report?gameId=561089
"Wed, 14 Oct 2020 03:30:00 +0530",Peru Vs Brazil,"100,000+",Peru 2-4 Brazil: Neymar overtakes Ronaldo to sit second in Brazil&#39;s ...,https://www.skysports.com/football/peru-vs-brazil/report/421785
"Wed, 14 Oct 2020 19:30:00 +0530",Tushar Deshpande,"100,000+",IPL 2020 DC vs RR: Who is Tushar Deshpande?,https://sportstar.thehindu.com/cricket/ipl/ipl-news/ipl-2020-tushar-deshpande-delhi-capitals-vs-rajasthan-royals-shreyas-iyer-dwayne-bravo-cricket-news/article32855848.ece
"Wed, 14 Oct 2020 08:30:00 +0530",Conchata Ferrell Berta,"100,000+",&#39;Two And A Half Men&#39; Star Conchata Ferrell Dies at 77,https://www.npr.org/2020/10/14/923615287/two-and-a-half-men-star-conchata-ferrell-dies-at-77
"Wed, 14 Oct 2020 00:30:00 +0530",Germany vs Switzerland,"50,000+",UEFA Nations League Live: Germany vs Switzerland Live tonite on ...,https://www.insidesport.co/uefa-nations-league-live-germany-vs-switzerland-live-tonite-on-sony-liv-at-12-15-am-ist-head-to-head-date-time-result/
"Wed, 14 Oct 2020 08:30:00 +0530",Gautam Gambhir,"50,000+","Gautam Gambhir Birthday: गौतम गंभीर, लगातार ...",https://www.amarujala.com/photo-gallery/cricket/cricket-news/happy-birthday-former-indian-cricketer-gautam-gambhir-turns-39
"Wed, 14 Oct 2020 20:30:00 +0530",Ajinkya Rahane,"50,000+","IPL 2020: Want to see Ajinkya Rahane score big, give healthy ...",https://www.indiatoday.in/sports/ipl-2020/story/ajinkya-rahane-opportunity-delhi-capitals-vs-rajasthan-royals-pragyan-ojha-ben-stokes-1731511-2020-10-14
"Wed, 14 Oct 2020 11:30:00 +0530",Shobha Naidu,"50,000+",Kuchipudi dancer Shoba Naidu passes away,https://www.thehindu.com/news/cities/Visakhapatnam/kuchipudi-dancer-shoba-naidu-passes-away/article32851397.ece
"Wed, 14 Oct 2020 07:30:00 +0530",Dhammachakra Pravartan Din,"50,000+",Dhammachakra Pravartan Day 2020 Wishes and Messages Trend ...,https://in.news.yahoo.com/dhammachakra-pravartan-day-2020-wishes-042631586.html
"Wed, 14 Oct 2020 16:30:00 +0530",Faraaz Khan,"20,000+","Actor Faraaz Khan On Life Support, Needs Funds For Treatment ...",https://www.ndtv.com/entertainment/actor-faraaz-khan-on-life-support-needs-funds-for-treatment-pooja-bhatt-reaches-out-2310004
"Wed, 14 Oct 2020 16:30:00 +0530",Infosys,"20,000+","Infosys Q2 Results: Net profit jumps 20.5% YoY, revenue guidance ...",https://economictimes.indiatimes.com/markets/stocks/earnings/infosys-q2-results-net-profit-beats-estimates-revenue-guidance-increased/articleshow/78659634.cms
"Wed, 14 Oct 2020 12:30:00 +0530",Vijay Sethupathi,"20,000+",Vijay Sethupathi faces backlash over Muttiah Muralitharan biopic &#39;800&#39;,https://www.theweek.in/news/entertainment/2020/10/14/vijay-sethupathi-fasces-backlash-over-muttiah-muralitharan-biopic-800.html
"Wed, 14 Oct 2020 08:30:00 +0530",Baba Ramdev,"20,000+",&#39;Act of gravity&#39;: Baba Ramdev falls from elephant while doing Yoga ...,https://www.deccanherald.com/specials/act-of-gravity-baba-ramdev-falls-from-elephant-while-doing-yoga-leaves-twitterati-in-splits-901658.html
"Wed, 14 Oct 2020 20:30:00 +0530",BookMyShow,"20,000+",I am optimistic that business will pick up: BookMyShow COO Ashish ...,https://indianexpress.com/article/entertainment/entertainment-others/i-am-optimistic-that-business-will-pick-up-bookmyshow-ceo-ashish-saksena-6725193/
"Wed, 14 Oct 2020 09:30:00 +0530",14-Oct,"20,000+",Aaj Ka Panchang 14 October 2020: आज कृष्ण पक्ष ...,https://www.india.com/hindi-news/faith-hindi/aaj-ka-panchang-14-october-2020-read-full-day-panchang-abhijeet-muhurat-rahukaal-in-hindi-4171845/
"Wed, 14 Oct 2020 21:30:00 +0530",Ravichandran Ashwin,"20,000+",&#39;జట్టు గెలుపే ముఖ్యం.. ఆరెంజ్ ...,https://telugu.mykhel.com/cricket/ipl-2020-ravichandran-ashwin-says-purple-and-orange-cap-an-eyewash-only-030903.html
"Wed, 14 Oct 2020 22:30:00 +0530",Abdul Kalam,"20,000+",A. P. J. Abdul Kalam Birth Anniversary: अंतिम समय में ...,https://www.jagran.com/news/national-apj-abdul-kalam-birth-anniversary-even-at-the-last-time-college-children-were-given-education-jagran-special-20877147.html
"Wed, 14 Oct 2020 08:30:00 +0530",Ronaldo Corona,"20,000+",Cristiano Ronaldo- कोरोना वायरस की चपेट में ...,https://www.amarujala.com/sports/football/cristiano-ronaldo-tests-positive-for-covid-19
"Wed, 14 Oct 2020 21:30:00 +0530",Axar Patel,"20,000+",DC vs RR: How Steve Smith fares against Axar Patel,https://in.news.yahoo.com/dc-vs-rr-steve-smith-082016052.html
"Thu, 15 Oct 2020 10:30:00 +0530",RCB vs KXIP,"2,000,000+","RCB vs KXIP Highlights, IPL 2020 Match Today: Rahul, Gayle fifties ...",https://www.hindustantimes.com/cricket/ipl-2020-rcb-vs-kxip-live-score-royal-challengers-bangalore-vs-kings-xi-punjab-indian-premier-league-match-today-live-updates-uae/story-4Fjqy7HBeY166KdpWm2izL.html
"Thu, 15 Oct 2020 08:30:00 +0530",Sara Tendulkar,"500,000+",Sara Tendulkar wife of Shubman Gill? Google goof-up shows ...,https://www.mykhel.com/cricket/sara-tendulkar-wife-of-shubman-gill-another-google-bug-on-sachin-tendulkar-s-daughter-153694.html
"Thu, 15 Oct 2020 13:30:00 +0530",Aditya Narayan,"100,000+",Aditya Narayan controversies: A look at all the times the singer ...,https://www.dnaindia.com/bollywood/report-aditya-narayan-controversies-a-look-at-all-the-times-the-singer-made-headlines-2850123
"Thu, 15 Oct 2020 09:30:00 +0530",Akkitham,"100,000+","Kerala loses Akkitham Achuthan Namboothiri, a poet of rare integrity ...",https://indianexpress.com/article/books-and-literature/kerala-loses-akkitham-6737414/
"Thu, 15 Oct 2020 11:30:00 +0530",John Cena,"100,000+",WWE legend John Cena ties the knot with longtime girlfriend Shay ...,https://www.timesnownews.com/sports/wwe/article/wwe-legend-john-cena-ties-the-knot-with-longtime-girlfriend-shay-shariatzadeh/667775
