DATE,KEYWORD,COUNT,TITLE,LINK
"Mon, 12 Oct 2020 08:00:00 +0100",Lakers,"10,000+",&#39;For Kobe&#39;: Lebron James leads LA Lakers to 17th NBA title,https://www.aljazeera.com/news/2020/10/12/lakers-beat-heat-to-clinch-first-nba-title-in-17-years
"Mon, 12 Oct 2020 18:00:00 +0100",Togo vs Sudan,"2,000+",International Friendly – Togo vs Sudan Preview &amp; Prediction,https://www.thestatszone.com/football/internationals/international-friendly-togo-vs-sudan-preview-prediction-1304502
"Sun, 11 Oct 2020 15:00:00 +0100",SARS Nigeria,"20,000+","#EndSARS: FG scraps SARS, bows to Youth pressure",https://nairametrics.com/2020/10/11/breaking-endsars-fg-scraps-sars-bows-to-youth-pressure/
"Sun, 11 Oct 2020 18:00:00 +0100",Rafael Nadal,"20,000+","Rafael Nadal Equals Slams Record Tally, Adds To Big Titles Haul ...",https://www.atptour.com/en/news/nadal-roland-garros-2020-big-titles
"Sun, 11 Oct 2020 23:00:00 +0100",Nigeria vs Tunisia,"5,000+","Nigeria vs. Tunisia: Preview, Probable Line-up, Prediction ...",https://soccernet.ng/2020/10/nigeria-vs-tunisia-preview-predicted-line-up-prediction.html
"Sun, 11 Oct 2020 20:00:00 +0100",Queer,"5,000+",Demi Lovato Says Watching &lt;i&gt;Cruel Intentions&lt;/i&gt; Made Her ...,https://www.elle.com/culture/movies-tv/a34339087/demi-lovato-cruel-intentions-queer/
"Sun, 11 Oct 2020 21:00:00 +0100",England,"2,000+",Redknapp identifies what Mount needs to do to become England&#39;s ...,https://www.goal.com/en/news/redknapp-mount-needs-to-do-england-de-bruyne/104wrh8mrrcfp1vzst0p5u0flw
"Sat, 10 Oct 2020 18:00:00 +0100",Ondo State election results 2020,"100,000+",Rotimi Akeredolu wins Ondo governorship election,https://nairametrics.com/2020/10/11/rotimi-akeredolu-wins-ondo-governorship-election/
"Sat, 10 Oct 2020 20:00:00 +0100",Spain vs Switzerland,"20,000+","Spain vs. Switzerland - Football Match Report - October 10, 2020 ...",http://www.espn.com/soccer/report?gameId=570718
"Sat, 10 Oct 2020 07:00:00 +0100",Brazil vs Bolivia,"10,000+","Brazil vs. Bolivia - Football Match Report - October 9, 2020 - ESPN",https://www.espn.com/soccer/report?gameId=561094
