DATE,KEYWORD,COUNT,TITLE,LINK
"Mon, 12 Oct 2020 05:00:00 -0700",Amazon Prime Day,"500,000+",Amazon Prime Day is about to start — here are the best deals,https://www.cnbc.com/2020/10/12/amazon-prime-day-is-on-here-are-the-best-deals.html
"Mon, 12 Oct 2020 08:00:00 -0700",Joe Morgan,"200,000+","Joe Morgan, Cincinnati Reds second baseman and heart of 1970s ...",https://www.nbcnews.com/news/us-news/joe-morgan-cincinnati-reds-second-baseman-heart-1970s-big-red-n1242949
"Mon, 12 Oct 2020 08:00:00 -0700",Amy Coney Barrett,"200,000+",Supreme Court: Democrats argue Barrett threatens Obamacare at ...,https://www.cnn.com/2020/10/12/politics/barrett-supreme-court-hearing-day-one/index.html
"Mon, 12 Oct 2020 11:00:00 -0700",Tom Parker,"50,000+",Tom Parker: The Wanted singer diagnosed with inoperable brain ...,https://www.bbc.com/news/entertainment-arts-54506215
"Mon, 12 Oct 2020 10:00:00 -0700",Gisele Fetterman,"50,000+",Pa. second lady Gisele Barreto Fetterman films woman calling her ...,https://www.inquirer.com/news/pennsylvania/gisele-fetterman-racist-attack-grocery-store-braddock-n-word-20201012.html
"Mon, 12 Oct 2020 09:00:00 -0700",Tom Kennedy,"20,000+","Tom Kennedy, &#39;Name That Tune&#39; game show host, dead at 93",https://nypost.com/2020/10/12/tom-kennedy-name-that-tune-game-show-host-dead-at-93/
"Mon, 12 Oct 2020 11:00:00 -0700",Margaret Nolan,"20,000+",&#39;Goldfinger&#39; actress Margaret Nolan dead at 76 - CNN,https://www.cnn.com/2020/10/12/entertainment/margaret-nolan-goldfinger-death-scli-intl-gbr/index.html
"Sun, 11 Oct 2020 14:00:00 -0700",Dak Prescott,"5,000,000+",Cowboys QB Dak Prescott Suffers Gruesome Ankle Injury In Giants ...,https://dfw.cbslocal.com/2020/10/12/cowboys-qb-dak-prescott-suffers-gruesome-injury-leaves-game-3rd-quarter/
"Sun, 11 Oct 2020 19:00:00 -0700",Seahawks,"2,000,000+",Late Wilson magic gives Seahawks 27-26 win over Vikings,http://komonews.com/sports/seahawks/late-wilson-magic-gives-seahawks-27-26-win-over-vikings
"Sun, 11 Oct 2020 14:00:00 -0700",Raiders,"1,000,000+",Raiders stun Chiefs as Carr shines and defense excels in second ...,https://www.mercurynews.com/raiders-stun-chiefs-as-carr-shines-and-defense-excels-in-second-half
"Sun, 11 Oct 2020 14:00:00 -0700",Columbus Day 2020,"1,000,000+",Columbus Day 2020: What&#39;s open? Will mail run? Alabama ...,https://www.al.com/news/2020/10/columbus-day-2020-whats-open-will-mail-run-alabama-celebrates-3-holidays-today.html
"Sun, 11 Oct 2020 11:00:00 -0700",Steelers,"1,000,000+",5 things we learned about Steelers: Cupcake part of schedule ...,https://triblive.com/sports/5-things-we-learned-about-steelers-cupcake-part-of-schedule-comes-to-an-end/
"Sun, 11 Oct 2020 12:00:00 -0700",Atlanta Falcons,"500,000+","Atlanta Falcons fire coach Dan Quinn, GM Thomas Dimitroff",https://www.bizjournals.com/atlanta/news/2020/10/11/dan-quinn-coach-atlanta-falcons-fired.html
"Sun, 11 Oct 2020 11:00:00 -0700",Alex Smith,"500,000+",Alex Smith returns to field for Washington Football Team after 2018 ...,https://www.9news.com/article/sports/nfl/alex-smith-returns-washington-football-team-nfl-rams/65-68ede815-ef7c-4c82-b1c9-33a09dd33be6
"Sun, 11 Oct 2020 19:00:00 -0700",Astros,"200,000+",Houston Astros look to tie Tampa Bay Rays in game 2 of ALCS,https://abc13.com/astros-rays-game-2-alcs-houston-baseball-tampa-bay-san-diego-petco-park/6968666/
"Sun, 11 Oct 2020 10:00:00 -0700",Nadal,"200,000+","In Paris, Nadal and Swiatek each sent a message about tennis&#39;s future",https://www.tennis.com/pro-game/2020/10/rafael-nadal-iga-swiatek-roland-garros-champions-2020-atp-wta/91381/
"Sun, 11 Oct 2020 15:00:00 -0700",Jeff Dye,"200,000+",Kristin Cavallari kisses comedian Jeff Dye in Chicago after split from ...,https://www.foxnews.com/entertainment/kristin-cavallari-kisses-comedian-jeff-dye
"Sun, 11 Oct 2020 10:00:00 -0700",Jack White,"200,000+",Stream Jack White&#39;s Thrilling &#39;SNL&#39; Performance,https://www.npr.org/2020/10/11/922788708/jack-white-gives-a-thrilling-performance-on-snl-on-2-days-notice
"Sun, 11 Oct 2020 10:00:00 -0700",San Francisco 49ers,"200,000+",San Francisco 49ers bench struggling Jimmy Garoppolo for C.J. ...,https://www.espn.com/nfl/story/_/id/30094455/san-francisco-49ers-bench-struggling-jimmy-garoppolo-cj-beathard-vs-dolphins
"Sun, 11 Oct 2020 13:00:00 -0700",Jets,"200,000+","Jets, Le&#39;Veon Bell marriage on the rocks? Time to think trade - New ...",https://www.espn.com/blog/new-york-jets/post/_/id/84520/jets-leveon-bell-marriage-on-the-rocks-time-to-think-trade
"Tue, 13 Oct 2020 09:00:00 -0700",Cristiano Ronaldo,"50,000+",Cristiano Ronaldo Tests Positive for Coronavirus,https://www.nytimes.com/2020/10/13/sports/soccer/cristiano-ronaldo-coronavirus-positive.html
"Tue, 13 Oct 2020 09:00:00 -0700",Justin Bieber Crocs,"50,000+",Justin Bieber launches Crocs collection,https://www.cnn.com/style/article/justin-bieber-crocs-intl-scli/index.html
"Tue, 13 Oct 2020 08:00:00 -0700",Anchorage Mayor Ethan Berkowitz,"20,000+",Anchorage mayor apologizes for &#39;inappropriate messaging ...,https://www.washingtonpost.com/nation/2020/10/13/anchorage-alaska-mayor-apology-anchor/
"Tue, 13 Oct 2020 09:00:00 -0700",Amy McGrath,"20,000+",5 takeaways from Monday night&#39;s Mitch McConnell vs. Amy McGrath ...,https://www.courier-journal.com/story/news/politics/elections/kentucky/2020/10/13/mitch-mcconnell-vs-amy-mcgrath-debate-takeaways/5971213002/
"Tue, 13 Oct 2020 10:00:00 -0700",Johnson and Johnson,"20,000+",Johnson &amp; Johnson&#39;s coronavirus vaccine trial is paused after ...,https://www.cnbc.com/2020/10/13/jnjs-coronavirus-vaccine-trial-paused-after-adverse-event-reported-36-hours-ago.html
"Tue, 13 Oct 2020 08:00:00 -0700",DIANE Downs,"20,000+",Dominic West kisses wife Catherine for the cameras after intimate ...,https://www.thesun.co.uk/news/12917566/where-is-diane-downs/
"Mon, 12 Oct 2020 05:00:00 -0700",Amazon Prime Day,"2,000,000+",Amazon Prime Day is on — here are the best deals,https://www.cnbc.com/2020/10/12/amazon-prime-day-is-on-here-are-the-best-deals.html
"Mon, 12 Oct 2020 18:00:00 -0700",Saints,"2,000,000+","Saints&#39; Drew Brees, Cam Jordan offer high praise for Chargers ...",https://www.cbssports.com/nfl/news/saints-drew-brees-cam-jordan-offer-high-praise-for-chargers-justin-herbert-after-overtime-win-in-week-5/
"Mon, 12 Oct 2020 11:00:00 -0700",iPhone 12,"1,000,000+",The iPhone 12 and HomePod mini leak ahead of today&#39;s big Apple ...,https://techcrunch.com/2020/10/13/the-iphone-12-and-homepod-mini-leak-ahead-of-todays-big-apple-event/
"Mon, 12 Oct 2020 15:00:00 -0700",Dodgers,"1,000,000+",Dodgers&#39; Clayton Kershaw scratched from NLCS Game 2; rookie ...,https://www.usatoday.com/story/sports/mlb/2020/10/13/clayton-kershaw-dodgers-scratched-nlcs-game-2-braves/5979787002/
"Mon, 12 Oct 2020 08:00:00 -0700",Amy Coney Barrett,"500,000+",Amy Coney Barrett Faces Lawmakers&#39; Questions,https://www.wsj.com/articles/amy-coney-barrett-to-face-lawmakers-questions-11602581406
"Mon, 12 Oct 2020 08:00:00 -0700",Joe Morgan,"500,000+",Baseball Hall of Famer Joe Morgan dies at 77,https://www.espn.com/mlb/story/_/id/30100016/baseball-hall-famer-joe-morgan-dies-77
"Mon, 12 Oct 2020 10:00:00 -0700",John Fetterman,"200,000+","Giselle Barreto Fetterman, Pennsylvania&#39;s Second Lady, Is Target of ...",https://www.nytimes.com/2020/10/12/us/politics/gisele-fetterman-pennsylvania.html
"Mon, 12 Oct 2020 13:00:00 -0700",Lily James,"200,000+",Lily James and Dominic West star in real-life marital drama after a ...,https://www.mercurynews.com/lily-james-and-dominic-west-star-in-real-life-marital-drama-after-a-very-romantic-looking-roman-holiday
"Mon, 12 Oct 2020 11:00:00 -0700",Tom Parker,"100,000+",The Wanted Singer Tom Parker Reveals He Has Terminal Brain ...,https://variety.com/2020/music/news/tom-parker-the-wanted-brain-tumor-1234801088/
"Mon, 12 Oct 2020 20:00:00 -0700",Tommy Pham,"50,000+","Padres&#39; Tommy Pham stabbed during altercation, in &#39;good condition ...",https://www.winknews.com/2020/10/13/padres-tommy-pham-stabbed-during-altercation-in-good-condition-following-surgery/
"Mon, 12 Oct 2020 17:00:00 -0700",Early voting Texas,"50,000+",Early voting in Texas&#39; competitive election runs from Oct. 13 to Oct. 30.,https://www.texastribune.org/2020/10/13/early-voting-texas-election/
"Mon, 12 Oct 2020 19:00:00 -0700",Globe Life Field,"50,000+",Globe Life Field Opens To Fans For Baseball Playoffs,https://dfw.cbslocal.com/2020/10/12/globe-life-field-opens-fans-baseball-playoffs/
"Mon, 12 Oct 2020 17:00:00 -0700","Sanford, Florida","50,000+",&#39;I just feel so powerful.&#39; Trump hits the campaign trail in Florida for ...,https://www.usatoday.com/story/news/politics/2020/10/12/trump-holds-sanford-florida-rally-first-since-covid-19-diagnosis/5966416002/
"Mon, 12 Oct 2020 19:00:00 -0700",One Day at a Time,"50,000+",&#39;One Day at a Time&#39; makes its network premiere on CBS | How to ...,https://www.oregonlive.com/tv/2020/10/one-day-at-a-time-makes-its-network-premiere-on-cbs-how-to-watch-livestream-tv-channel-time.html
"Wed, 14 Oct 2020 09:00:00 -0700",Melvin Gordon,"50,000+",Broncos&#39; running back Melvin Gordon charged with DUI,https://www.9news.com/article/sports/nfl/denver-broncos/mike-klis/denver-broncos-melvin-gordon-charged-with-dui/73-ef603b1e-d20b-42d2-9eea-ed5bd761b46d
"Wed, 14 Oct 2020 10:00:00 -0700",NIO stock,"50,000+",Why NIO Stock Is Charging Higher Today,https://www.fool.com/investing/2020/10/14/why-nio-stock-is-charging-higher-today/
"Wed, 14 Oct 2020 10:00:00 -0700",Hunter Biden,"50,000+",Trump team tries to use purported Hunter Biden emails to help ...,https://www.vox.com/2020/10/14/21515776/hunter-biden-emails-giuliani
"Wed, 14 Oct 2020 00:00:00 -0700",Roy Jones Jr,"50,000+",Roy Jones Hopes To Face an Explosive Mike Tyson in November,https://www.boxingscene.com/roy-jones-hopes-face-an-explosive-mike-tyson-november--152455
"Wed, 14 Oct 2020 07:00:00 -0700",Patrick Leahy,"50,000+",How old is Patrick Leahy? Looking for the Vermont senator&#39;s vital ...,https://www.burlingtonfreepress.com/story/news/politics/2020/10/14/how-old-is-senator-patrick-leahy-from-vermont/3651691001/
"Wed, 14 Oct 2020 08:00:00 -0700",Anya Taylor-Joy,"20,000+",Anya Taylor-Joy cast in Furiosa film,https://nonpareilonline.com/people/anya-taylor-joy-cast-in-furiosa-film/article_517a4c1b-b456-511a-8a15-4014429175e8.html
"Wed, 14 Oct 2020 08:00:00 -0700",John Cornyn,"20,000+",John Cornyn goes on attack against challenger MJ Hegar in ...,https://www.krgv.com/news/john-cornyn-goes-on-attack-against-challenger-mj-hegar-in-homestretch-of-u-s-senate-race
"Wed, 14 Oct 2020 10:00:00 -0700",Dax Shepard,"20,000+",Kristen Bell opens up about Dax Shepard&#39;s relapse - CNN,https://www.cnn.com/2020/10/14/entertainment/kristen-bell-dax-shepard-relapse/index.html
"Tue, 13 Oct 2020 14:00:00 -0700",Buffalo Bills,"1,000,000+",Tannehill scores 4 TDs as depleted Titans beat Bills 42-16,https://apnews.com/article/nfl-tennessee-titans-football-tennessee-malcolm-butler-14f3a828833bec91f5592e4e86115811
"Tue, 13 Oct 2020 14:00:00 -0700",Conchata Ferrell Berta,"1,000,000+",&#39;Two And A Half Men&#39; Star Conchata Ferrell Dies at 77,https://www.npr.org/2020/10/14/923615287/two-and-a-half-men-star-conchata-ferrell-dies-at-77
"Tue, 13 Oct 2020 19:00:00 -0700",Cardi B,"500,000+",Cardi B Responds After Accidentally Going Topless On Instagram,https://www.cinemablend.com/television/2556783/cardi-b-responds-after-accidentally-going-topless-on-instagram
"Tue, 13 Oct 2020 15:00:00 -0700",Le'Veon Bell,"500,000+","RB Index, Week 6: Six landing spots for Le&#39;Veon Bell",https://www.nfl.com/news/rb-index-week-6-six-landing-spots-for-le-veon-bell
"Tue, 13 Oct 2020 05:00:00 -0700",Best Prime Day deals 2020,"500,000+","The best Amazon Prime Day 2020 deals: headphones, games, and ...",https://www.theverge.com/21514968/amazon-prime-day-best-deals-games-headphones-gadgets-tech
"Tue, 13 Oct 2020 03:00:00 -0700",Sheldon Whitehouse,"500,000+",Watch Sen. Sheldon Whitehouse school Amy Coney Barrett on dark ...,https://www.motherjones.com/politics/2020/10/watch-sen-sheldon-whitehouse-school-amy-coney-barrett-on-dark-money/
"Tue, 13 Oct 2020 11:00:00 -0700",Billie Eilish,"200,000+",Billie Eilish hits back at body shamers after wearing tank top and ...,https://pagesix.com/2020/10/14/billie-eilish-hits-back-at-body-shamers-after-wearing-tank-top-and-shorts/
